nome;source
"Notebook Lenovo IdeaPad 3i Intel Core I3 - 1115G4, 8GB RAM, 256GB SSD, Windows 11 Home, Tela 15,6"" - 82MD0010BR";https://lista.mercadolivre.com.br/notebooks
"Notebook Vaio Fe16 Amd Ryzen 5-5625u Windows 11 Home 8gb RAM 256gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11x-b0421h - Permite upgrade de memória RAM e SSD";https://lista.mercadolivre.com.br/notebooks
Notebook Positivo Vision C15 Lumina Bar Celeron, 8gb 256gb Emmc, Tela 15 Polegadas Hd Antirreflexo, Linux, Tecla Link, Cinza;https://lista.mercadolivre.com.br/notebooks
Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core 5, 16gb, 512gb Ssd, Nvidia® Geforce® Mx570, 15.6'' Full Hd Led, Fingerprint - Grafite;https://lista.mercadolivre.com.br/notebooks
Notebook Asus Vivobook 16 Intel Core I7 1355U 16GB RAM 1TB SSD Windows 11 Home Tela 16 Fhd Cool Silver – X1605VA-MB764W;https://lista.mercadolivre.com.br/notebooks
Notebook Thinkpad T460 I5 8gb/ssd240gb Windows10pro Digital - Bom (Recondicionado);https://lista.mercadolivre.com.br/notebooks
"Notebook ASUS VivoBook Go 15 AMD Ryzen 5 7520U 8GB 512GB SSD KeepOS Tela 15,6"" FHD Mixed Black - E1504FA-NJ732";https://lista.mercadolivre.com.br/notebooks
Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U, Windows 11 Home, 8GB, 256GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg;https://lista.mercadolivre.com.br/notebooks
Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 8GB RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' HD - 82VY000QBR;https://lista.mercadolivre.com.br/notebooks
Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Windows 11 Home Cinza Grafite B2621H;https://lista.mercadolivre.com.br/notebooks
Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 16gb Ram 512gb Ssd Linux Keepos Intel Iris Xe Tela 15,6 Led Fhd Blue - Nj1746;https://lista.mercadolivre.com.br/notebooks
"Notebook ASUS TUF Gaming F15 Intel Core i7 13620H RTX4060 16GB RAM 512GB SSD Windows 11 Home Tela 165Hz Nivel IPS 15,6"" FHD Mecha Gray - FX507VV-HQ333W";https://lista.mercadolivre.com.br/notebooks
Notebook Asus Vivobook S14 S3407va Intel Core I7 13620h 16gb Ram 512gb Ssd Windows 11 Tela 14 Led Fhd Silver - Ly043w;https://lista.mercadolivre.com.br/notebooks
Notebook Dell Inspiron 15 Intel I7 1255u 8gb 512gb Ssd Preto;https://lista.mercadolivre.com.br/notebooks
Notebook I5 8350u Ssd 240 Gb 8gb Ddr4 Usb C Hdmi Lan T480;https://lista.mercadolivre.com.br/notebooks
Notebook Lenovo Ideapad 1 Ryzen 3 7320U 4gb 256gb SSD Linux 15.6 HD 82x5s00600;https://lista.mercadolivre.com.br/notebooks
Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 15,6'' Cinza - Ub261;https://lista.mercadolivre.com.br/notebooks
Notebook Acer Aspire 5 Ryzen 7 15.6 Radeon 512gb 8gb Linux;https://lista.mercadolivre.com.br/notebooks
Notebook VAIO FE16 AMD Ryzen 5-5625U Linux 8GB RAM 256GB SSD Wi-Fi 6 Tela 16'' IPS WUXGA Antirreflexo - Cinza Grafite - Vjfe69f11x-b0411h - Permite upgrade de memória RAM e SSD;https://lista.mercadolivre.com.br/notebooks
"Notebook Lenovo Ideapad Intel Celeron - N4020, 4GB RAM, 128SSD, Windows 11 Home C/office, Tela Led 15,6"", Cor Cinza - 82VX0001BR";https://lista.mercadolivre.com.br/notebooks
Notebook Asus X515ka-br309ws Celeron 4gb 128gb W11 Home 15,8;https://lista.mercadolivre.com.br/notebooks
"Notebook Acer Aspire 3 Intel Core i3– N305 FHD 15.6"" LED TN UHD para processadores Inte 256GB SDD 8GB RAM Debian 64 bits Prata - A315-510P-320B";https://lista.mercadolivre.com.br/notebooks
Notebook Positivo Vision C14 Lumina Bar Celeron 8gb 256gb Emmc Tela 14 Polegadas Hd Antirreflexo Linux Tecla Link - Cinza;https://lista.mercadolivre.com.br/notebooks
Notebook Hp Elitebook 845 G8 Ryzen 3 Pro 16gb Ram 256gb Ssd Prata (Recondicionado);https://lista.mercadolivre.com.br/notebooks
"Notebook Lenovo Yoga Slim 7i Intel Core Ultra 5 125H 16gb RAM 512gb SSD Windows 11 Home Tela 14"" 83GM0003BR";https://lista.mercadolivre.com.br/notebooks
Notebook Lenovo Ideapad 1i Intel I5-1235u 8gb 512gb 15,6 W11;https://lista.mercadolivre.com.br/notebooks
Notebook Positivo Vision C14 Intel® Celeron® Linux 4GB 128GB eMMC 14” HD Lumina BAR – Cinza;https://lista.mercadolivre.com.br/notebooks
Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 256gb Ssd Linux Keepos Intel Iris Xe Tela 15,6 Led Fhd Silver - Nj1739;https://lista.mercadolivre.com.br/notebooks
Notebook Asus Vivobook 16 X1607qa Qualcomm Snapdragon X1 26 100 16gb Ram 512gb Ssd Windows 11 Home Tela 16 Fhd Silver - Mb062w;https://lista.mercadolivre.com.br/notebooks
Notebook Lenovo Ideapad 1i Intel Core I3 - 1215U, 4GB RAM, 256GB SSD, Windows 11 Home, Tela 15.6'' - 82VY000TBR Cor cinza - Excelente (Recondicionado);https://lista.mercadolivre.com.br/notebooks
Notebook Positivo Vision R15 Lumina Bar Amd Ryzen 5 16gb 512gb, Tela 15 Full Hd Antirreflexo, Linux - Preto;https://lista.mercadolivre.com.br/notebooks
Notebook Asus Tuf Gaming F16 Fx607vu Rtx4050 Intel Core 5 210h 16gb Ram 512gb Ssd Windows 11 Tela Nível Ips 16 Led 144hz Gray - Rl053w;https://lista.mercadolivre.com.br/notebooks
Notebook Lenovo Intel Core I5 8350u 8gb Ddr4 Ssd M.2 256gb - Excelente (Recondicionado);https://lista.mercadolivre.com.br/notebooks
Notebook Acer Vero Av15-53p-56hm I5 8gb 512gb Nx.kpual.001;https://lista.mercadolivre.com.br/notebooks
"Notebook ASUS Vivobook 15 M1502YA AMD Ryzen 7 5825U 16GB Ram 1TB SSD Linux KeepOS 15,6"" FHD Cool Silver - NJ613";https://lista.mercadolivre.com.br/notebooks
"Notebook ASUS Vivobook Go 15 E1504FA-NJ836W AMD Ryzen 5 7520U 2,8 GHz 8GB 512GB SSD Windows 11 Home 15,6"" Full Hd Preto";https://lista.mercadolivre.com.br/notebooks
Notebook Asus Zenbook S14 Oled Ux5406sa Intel Core Ultra 7 256v 16gb Ram 1tb Ssd Windows 11 Home Tela 14 Fhd 120hz Gray - Pz176w;https://lista.mercadolivre.com.br/notebooks
Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 3 7320u 4gb Ram 128gb Ssd Linux Keepos Tela 15,6 Fhd Black - Nj1291;https://lista.mercadolivre.com.br/notebooks
Notebook Gamer Acer Nitro V15 I5-13420h 512gb 8gb Rtx 3050;https://lista.mercadolivre.com.br/notebooks
"Notebook Vaio Fe16 Amd Ryzen 5-5625u Windows 11 Home 8gb RAM 256gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11x-b0421h - Permite upgrade de memória RAM e SSD";https://lista.mercadolivre.com.br/notebooks
Notebook Acer Vero AV15-53P-51MR Intel Core i5 – 1335U de 13ªG 8GB 512GB SSD W11 15.6 FHD;https://lista.mercadolivre.com.br/notebooks
Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Linux 15.6 - 83mes00000 Luna Grey;https://lista.mercadolivre.com.br/notebooks
Dell Latitude 3450 i5-1335U SSD de 256 GB Ddr5 Hd Win11 Pro Cinza;https://lista.mercadolivre.com.br/notebooks
