Avaliação;reviews;preco_antigo;preco_atual;data
;;;1708.0;2025-07-28 22:06:17.449692
4.9;4423.0;6699.0;3299.0;2025-07-28 22:06:17.449692
4.8;37.0;4999.0;3799.0;2025-07-28 22:06:17.449692
4.8;40.0;6656.0;4999.0;2025-07-28 22:06:17.449692
5.0;7.0;5399.0;4709.0;2025-07-28 22:06:17.449692
4.2;82.0;;2299.0;2025-07-28 22:06:17.449692
4.9;988.0;;3298.0;2025-07-28 22:06:17.449692
4.0;1.0;;2499.0;2025-07-28 22:06:17.449692
;;3799.0;2849.0;2025-07-28 22:06:17.449692
5.0;13.0;6656.0;4999.0;2025-07-28 22:06:17.449692
4.9;10.0;6999.0;5299.0;2025-07-28 22:06:17.449692
4.5;460.0;2099.0;1399.0;2025-07-28 22:06:17.449692
4.9;1041.0;;5899.0;2025-07-28 22:06:17.449692
4.7;410.0;2499.0;2254.0;2025-07-28 22:06:17.449692
5.0;1.0;;2790.0;2025-07-28 22:06:17.449692
;;4599.0;4019.0;2025-07-28 22:06:17.449692
;;;2629.0;2025-07-28 22:06:17.449692
4.1;2657.0;;1649.0;2025-07-28 22:06:17.449692
;;3199.0;2949.0;2025-07-28 22:06:17.449692
4.9;8.0;;7799.0;2025-07-28 22:06:17.449692
;;2499.0;1549.0;2025-07-28 22:06:17.449692
;;5799.0;5149.0;2025-07-28 22:06:17.449692
4.9;4423.0;6699.0;3299.0;2025-07-28 22:06:17.449692
4.8;251.0;;3310.0;2025-07-28 22:06:17.449692
4.5;211.0;;1418.0;2025-07-28 22:06:17.449692
5.0;1.0;;8356.0;2025-07-28 22:06:17.449692
;;7899.0;7329.0;2025-07-28 22:06:17.449692
;;3499.0;3229.0;2025-07-28 22:06:17.449692
;;9509.0;3324.0;2025-07-28 22:06:17.449692
;;;2390.0;2025-07-28 22:06:17.449692
5.0;10.0;;7599.0;2025-07-28 22:06:17.449692
;;;4960.0;2025-07-28 22:06:17.449692
4.7;12.0;1550.0;1379.0;2025-07-28 22:06:17.449692
;;1587.0;1428.0;2025-07-28 22:06:17.449692
4.0;6.0;;1495.0;2025-07-28 22:06:17.449692
;;;3239.0;2025-07-28 22:06:17.449692
5.0;1.0;;3629.0;2025-07-28 22:06:17.449692
;;2299.0;2115.0;2025-07-28 22:06:17.449692
5.0;1.0;;5309.0;2025-07-28 22:06:17.449692
5.0;2.0;;3599.0;2025-07-28 22:06:17.449692
;;2199.0;1385.0;2025-07-28 22:06:17.449692
4.3;13.0;;6704.0;2025-07-28 22:06:17.449692
5.0;1.0;3849.0;3359.0;2025-07-28 22:06:17.449692
