nome;vendedor;Avaliação;reviews;preco_antigo;preco_atual;source;data
Notebook VAIO FE15 Intel Core i5 12ªgen 8GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Linux - Cinza Grafite - VJFE54F11XB2321H;Eshop;4.8;43.0;4950.0;2890.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Vaio Intel Core I7 10ª Geração 16gb Ssd 256gb Cinza (Recondicionado);Canal Eletro;;;;1899.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Dell Inspiron I15-i120k-a15p I3 8gb 512gb 15.6 W11;Dell;4.8;1006.0;2999.0;2829.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Lenovo V14 Amd R5 7520u 8gb 256gb Ssd W11 Pro Preto;2Eletro;4.0;5.0;4110.0;3199.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Apple Macbook air 13 M4 16gb Ram 256gb Ssd Meia-noite;;;;;9699.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U, Windows 11 Home, 8GB, 256GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg;Vikings;4.9;1356.0;5712.0;3899.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 8GB RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' HD - 82VY000QBR;Vikings;4.8;4606.0;4199.0;2999.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Windows 11 Home Cinza Grafite B2621H;INPOWER;4.8;692.0;4599.0;3699.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 512gb Ssd Intel Iris Xe Windows 11 Home Tela 15,6 Fhd Silver - Nj1740w;Asus;5.0;19.0;3599.0;3113.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Hp Probook 440 G9 Intel Core I3-1215u 14 Intel Uhd 256gb 8gb Ram Windows 11 Pro- 839y2la#ak4;HP;4.9;20.0;4944.0;2469.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey;Lenovo;4.9;419.0;5859.0;4799.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
"Notebook Gamer Acer Nitro V15 I7-13620h 13ªGen 8gb 512gb Rtx3050 6gb Linux 15.6"" FHD Preto - Anv15-51-7837";Eshop;4.8;80.0;7419.0;4929.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
"Notebook Vaio Fe16 Amd Ryzen 7-5825u Linux 16gb RAM 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo Cinza Grafite Vjfe69f11xb0121h - Permite upgrade de memória RAM e SSD";Vaio;4.8;68.0;4799.0;3299.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
"Notebook Lenovo IdeaPad 1i Intel Core i3-1215U 4GB 256GB SSD Linux 14"" 83AFS00500";Lenovo;4.8;5440.0;2199.0;1914.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 15,6'' Cinza - Ub261;123 Comprou;4.5;387.0;2055.0;1367.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Acer Aspire 5 Ryzen 7 15.6 Radeon 512gb 8gb Linux;Mobcom;4.8;979.0;4999.0;3099.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook VAIO FE16 AMD Ryzen 5-5625U Linux 8GB RAM 256GB SSD Wi-Fi 6 Tela 16'' IPS WUXGA Antirreflexo - Cinza Grafite - Vjfe69f11x-b0411h - Permite upgrade de memória RAM e SSD;123 Comprou;4.9;42.0;4998.0;2879.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
"Notebook Lenovo IdeaPad 1 15IAU7 Intel Core i7-1255U HD 15.6"" Intel Iris Xe 512GB SSD 12GB RAM Windows 11- 82VY000PBR";Login;4.7;264.0;4999.0;3799.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U, Windows 11 Home, 8GB, 256GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg;Vikings;4.9;1356.0;5712.0;3899.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Vaio Fe15 - Intel Core I3 12th, 8gb 256gb Ssd, Tela 15,6'' Full Hd Antirreflexo, Linux - Vjfe54f11x-b0921h - Cinza Grafite;Eshop;5.0;1.0;3900.0;2535.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Lenovo Ideapad 1i Intel I5-1235u 8gb 512gb 15,6 W11;2Eletro;4.8;24.0;3999.0;3059.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 256gb Ssd Windows 11 Home Intel Iris Xe Tela 15,6 Led Fhd Blue - Nj1737w;Mercado Livre;5.0;2.0;3249.0;2910.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Acer Aspire 15 555Q Intel Ci5 13gen 8gb 256ssd W11;Mercado Livre;4.8;482.0;4372.0;2699.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Positivo Vision C15 Lumina Bar Celeron 8gb 128gb Emmc 15 Hd Linux - Cinza;123 Comprou;;;3123.0;1664.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Lenovo T490 Core I5 8365u 1.6ghz Ssd 256gb 16gb 8ª Cor Preto;;4.1;7.0;;2099.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 16gb Ram 512gb Ssd Windows 11 Home Tela 15,6 Led Fhd Blue - Nj1745w;Asus;4.4;7.0;4399.0;3809.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
"Notebook Acer Aspire 5 Intel Core I5 - 12450H 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" Full HD A515-57-55B8 Bivolt";Mercado Livre;4.8;7661.0;4117.0;3096.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Vaio Fe15 Amd Ryzen 5 8gb Ram 256gb Windows 11 Home Cor Cinza;;4.8;81.0;3563.0;3076.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Acer Aspire 5 15.6 Fhd I5-12450h 256gb Ssd 8gb Cor Cinza;Itotal;4.6;116.0;3990.0;2747.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Hp 256r G9 Intel Core I5-1335u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl- Ay6z4la#ak4;HP;4.8;239.0;3517.0;2799.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Dell Inspiron 5402 Core I5 11th 8gb 256gb Ssd Win10 - Excelente (Recondicionado);Micro Livre;;;2999.0;2789.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
"Notebook Vaio Fe16 Amd Ryzen 7-5825u Linux 32gb RAM 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11xb0221h - - Permite upgrade de memória RAM e SSD";Vaio;4.8;37.0;4999.0;3799.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Hp 250r G9 Intel Core I5 1335u 8gb 256gb Ssd 15.6 W11 Pro Ay6w3la;2Eletro;4.3;11.0;3610.0;3099.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook ASUS Vivobook Go 15 E1504FA AMD Ryzen 3 7320U 4Gb Ram 128Gb SSD Windows 11 Home Tela 15,6 FHD Mixed Black - NJ1364W;;4.7;104.0;2900.0;2262.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4;HP;4.8;285.0;3232.0;2499.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Samsung Book4 I5-1335u 8gb 256gb Ssd 15,6 Full Hd Windows 11 Pro Np754xgj-kg5br 110v/220v;2Eletro;4.9;62.0;4398.0;3899.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Dell Inspiron I15-i120k-a10p 15.6 I3 8gb 256gb W11;Dell;4.8;1177.0;;3132.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Dell 15.6 Fhd I5 8gb 512gb Ssd Rtx 3050;Dell;4.9;95.0;;5460.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
